GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
0500000US37045,37045,"Cleveland County, North Carolina",98078,98065,97973,97534,97425,97000,97071,96924,97144
0500000US37047,37047,"Columbus County, North Carolina",58098,58111,57938,57828,57591,57146,56906,56927,56505
0500000US37049,37049,"Craven County, North Carolina",103505,103501,103937,104701,105309,104425,104343,103427,103445
0500000US37051,37051,"Cumberland County, North Carolina",319431,319431,320128,323887,323454,326676,326369,325581,327127
0500000US37053,37053,"Currituck County, North Carolina",23547,23547,23661,23899,24030,24337,24913,25231,25809
0500000US37055,37055,"Dare County, North Carolina",33920,33920,33986,34193,34453,34892,35039,35586,35964
0500000US37057,37057,"Davidson County, North Carolina",162878,162843,162854,163305,163474,163737,163958,164196,164926
0500000US37059,37059,"Davie County, North Carolina",41240,41220,41279,41337,41323,41475,41332,41696,42013
0500000US37061,37061,"Duplin County, North Carolina",58505,58416,58599,59309,59466,59241,59258,58670,58969
0500000US37063,37063,"Durham County, North Carolina",267587,270055,270962,276590,282676,288512,295116,300573,306212
0500000US37065,37065,"Edgecombe County, North Carolina",56552,56545,56603,56108,55746,55529,54921,53831,53318
0500000US37067,37067,"Forsyth County, North Carolina",350670,350704,351502,354565,357815,361049,365059,368019,371511
0500000US37069,37069,"Franklin County, North Carolina",60619,60538,60777,61054,61537,62226,62802,63674,64705
0500000US37071,37071,"Gaston County, North Carolina",206086,206101,206093,206979,208128,209384,210921,213366,216965
0500000US37073,37073,"Gates County, North Carolina",12197,12186,12160,12076,11919,11667,11562,11448,11478
0500000US37075,37075,"Graham County, North Carolina",8861,8861,8869,8792,8707,8734,8648,8610,8558
0500000US37077,37077,"Granville County, North Carolina",59916,57527,57649,57657,57764,58034,58329,58549,59031
0500000US37079,37079,"Greene County, North Carolina",21362,21362,21371,21679,21392,21217,21236,21190,21168
0500000US37081,37081,"Guilford County, North Carolina",488406,488464,489557,495129,500841,506794,512562,517548,521330
0500000US37083,37083,"Halifax County, North Carolina",54691,54624,54464,54189,53866,53318,52971,52323,51766
0500000US37085,37085,"Harnett County, North Carolina",114678,114707,115759,119211,122220,125095,126780,128124,130881
0500000US37087,37087,"Haywood County, North Carolina",59036,59032,58954,58714,58796,59131,59376,59899,60682
0500000US37089,37089,"Henderson County, North Carolina",106740,106692,106903,107474,108014,109269,110707,112327,114209
0500000US37091,37091,"Hertford County, North Carolina",24669,24670,24612,24520,24414,24400,24368,24108,24136
0500000US37093,37093,"Hoke County, North Carolina",46952,46880,47400,49401,50413,51109,51640,52841,53262
0500000US37095,37095,"Hyde County, North Carolina",5810,5810,5812,5827,5736,5726,5662,5503,5517
0500000US37097,37097,"Iredell County, North Carolina",159437,159470,159834,161111,162823,164811,166921,169992,172916
0500000US37099,37099,"Jackson County, North Carolina",40271,40275,40350,40202,40560,41020,40985,41327,42241
0500000US37101,37101,"Johnston County, North Carolina",168878,168904,169666,172835,174837,177729,181025,185733,191450
0500000US37103,37103,"Jones County, North Carolina",10153,10150,10075,10261,10272,10194,10060,10000,9845
0500000US37105,37105,"Lee County, North Carolina",57866,57853,57874,58549,59341,59857,59449,59438,59616
0500000US37107,37107,"Lenoir County, North Carolina",59495,59531,59488,59484,59166,58831,58372,58041,57307
0500000US37109,37109,"Lincoln County, North Carolina",78265,77936,78077,78185,78612,79089,79474,80574,81168
0500000US37111,37111,"McDowell County, North Carolina",44996,44994,45069,44974,45006,44990,45029,44963,45075
0500000US37113,37113,"Macon County, North Carolina",33922,33915,33934,33848,33820,33773,33838,34150,34376
0500000US37115,37115,"Madison County, North Carolina",20764,20777,20781,20828,20890,21140,21178,21104,21340
0500000US37117,37117,"Martin County, North Carolina",24505,24505,24460,24238,23888,23703,23455,23334,23172
0500000US37119,37119,"Mecklenburg County, North Carolina",919628,919637,923326,945113,968367,991322,1010878,1033466,1054835
0500000US37121,37121,"Mitchell County, North Carolina",15579,15581,15535,15375,15380,15344,15283,15183,15126
0500000US37123,37123,"Montgomery County, North Carolina",27798,27784,27730,27835,27616,27486,27346,27508,27418
0500000US37125,37125,"Moore County, North Carolina",88247,88250,88607,89389,90376,91638,93126,94436,95776
0500000US37127,37127,"Nash County, North Carolina",95840,95838,95842,95685,95240,94461,94299,93919,94005
0500000US37129,37129,"New Hanover County, North Carolina",202667,202688,203314,205979,209189,213186,216423,219868,223483
0500000US37131,37131,"Northampton County, North Carolina",22099,22094,21992,21956,21312,20811,20584,20433,20000
0500000US37133,37133,"Onslow County, North Carolina",177772,177787,179613,177898,183807,185545,185252,187033,187136
0500000US37135,37135,"Orange County, North Carolina",133801,133627,133974,134689,137551,139114,139876,140696,141796
0500000US37137,37137,"Pamlico County, North Carolina",13144,13144,13104,13298,13041,12900,12915,12784,12821
0500000US37139,37139,"Pasquotank County, North Carolina",40661,40661,40721,40383,40546,39774,39690,39673,39864
0500000US37141,37141,"Pender County, North Carolina",52217,52195,52343,53286,53884,54993,56144,57680,59090
0500000US37143,37143,"Perquimans County, North Carolina",13453,13453,13482,13466,13543,13596,13468,13410,13335
0500000US37145,37145,"Person County, North Carolina",39464,39460,39415,39518,39167,39222,39111,39198,39284
0500000US37147,37147,"Pitt County, North Carolina",168148,168152,168825,170756,172913,174332,175105,176182,177220
0500000US37149,37149,"Polk County, North Carolina",20510,20512,20451,20285,20246,20378,20317,20344,20334
0500000US37151,37151,"Randolph County, North Carolina",141752,141779,141958,141835,142251,142276,142444,142553,143416
0500000US37153,37153,"Richmond County, North Carolina",46639,46641,46629,46636,46357,46132,45687,45436,44939
0500000US37155,37155,"Robeson County, North Carolina",134168,134240,134450,135103,135412,135074,134869,134292,133235
0500000US37157,37157,"Rockingham County, North Carolina",93643,93611,93620,93204,92684,91939,91798,91675,91393
0500000US37159,37159,"Rowan County, North Carolina",138428,138502,138375,137996,137832,138126,138558,139021,139933
0500000US37161,37161,"Rutherford County, North Carolina",67810,67808,67744,67367,67204,66830,66587,66462,66421
0500000US37163,37163,"Sampson County, North Carolina",63431,63468,63551,63700,63912,64046,63913,63568,63124
0500000US37165,37165,"Scotland County, North Carolina",36157,36157,36081,36324,36156,35992,35743,35418,35244
0500000US37167,37167,"Stanly County, North Carolina",60585,60585,60551,60480,60485,60595,60595,60586,60791
0500000US37169,37169,"Stokes County, North Carolina",47401,47407,47342,47196,46773,46593,46429,46372,46097
0500000US37171,37171,"Surry County, North Carolina",73673,73748,73770,73632,73485,72890,72798,72548,72113
0500000US37173,37173,"Swain County, North Carolina",13981,13981,13998,14016,14098,14017,14282,14428,14346
0500000US37175,37175,"Transylvania County, North Carolina",33090,33090,33066,32799,32820,32827,32979,33202,33482
0500000US37177,37177,"Tyrrell County, North Carolina",4407,4407,4413,4340,4138,4101,4120,4140,4141
0500000US37179,37179,"Union County, North Carolina",201292,201350,202166,205122,208362,212549,218168,222384,226606
0500000US37181,37181,"Vance County, North Carolina",45422,45419,45302,45250,45057,44510,44378,44351,44244
0500000US37183,37183,"Wake County, North Carolina",900993,901037,906949,929208,952296,973920,997897,1021974,1046791
0500000US37185,37185,"Warren County, North Carolina",20972,21037,20985,20994,20663,20521,20318,20213,19907
